time,R01_STAGE,R02_STAGE,R03_STAGE,R04_STAGE,R01_FLOW,R02_FLOW,R03_FLOW,R04_FLOW
0.000000000000,1078.985710,1061.581000,1026.938536,993.3981984,-36.02359151,-4.453959076,-18.96350709,-169.4158645
1355673.543892,1078.985652,1061.581000,1026.924784,993.3958899,-36.01902677,-4.445657793,-18.54814756,-168.9896512
2846914.442173,1078.985460,1061.581000,1026.898299,993.3911900,-36.00386813,-4.415830227,-17.75869958,-168.1224713
4487279.430282,1078.985055,1061.581000,1026.859635,993.3840749,-35.97215866,-4.349762408,-16.63128486,-166.8121226
6291680.917202,1078.984377,1061.581000,1026.815183,993.3754933,-35.91948603,-4.234304018,-15.37229417,-165.2360164
8276522.552814,1078.983385,1061.581000,1026.768811,993.3660699,-35.84310361,-4.059928897,-14.10203591,-163.5111378
10459848.35199,1078.982691,1061.581000,1026.713301,993.3549125,-35.79235717,-3.820090828,-12.64059551,-161.4779114
12861506.73108,1078.982504,1061.581000,1026.656517,993.3432499,-35.78504838,-3.511489899,-11.21362748,-159.3626156
15503330.94808,1078.982192,1061.581000,1026.608837,993.3325251,-35.77281939,-3.134640889,-10.06953125,-157.4259936
18409337.58678,1078.981705,1061.581000,1026.560719,993.3215374,-35.75377221,-2.692296789,-8.966438841,-155.4516365
21605944.88935,1078.980993,1061.581000,1026.511191,993.3101879,-35.72590550,-2.217397171,-7.886371372,-153.4225740
25122212.92217,1078.980002,1061.581000,1026.472115,993.2998480,-35.68713246,-1.718800747,-7.074268935,-151.5822332
28990107.75828,1078.978679,1061.581000,1026.430918,993.2891386,-35.63538945,-1.153981208,-6.257857337,-149.6854825
33244792.07800,1078.976973,1061.581000,1026.388757,993.2782605,-35.56870916,-0.6710828435,-5.465668546,-147.7682089
37924944.82969,1078.974837,1061.581000,1026.345889,993.2673258,-35.48530525,-0.1521600120,-4.706487798,-145.8503302
43073112.85655,1078.972347,1060.545000,1026.336207,993.2638057,-35.38817870,0.000000000,-4.540452820,-145.2298542
48736097.68610,1078.969736,1060.545000,1026.331716,993.2652871,-35.28643843,0.000000000,-4.465092602,-145.4821194
54965380.99860,1078.967327,1060.545000,1026.332334,993.2703547,-35.19266858,0.000000000,-4.476977829,-146.3622154
61817592.64235,1078.965438,1060.545000,1026.337030,993.2775025,-35.11920817,0.000000000,-4.558453932,-147.6107000
69355025.45048,1078.964292,1061.581000,1026.343019,993.2785141,-35.07467276,-0.1670187720,-4.660910516,-147.7873475
77646201.53942,1078.963777,1061.581000,1026.353629,993.2744991,-35.05464173,-0.4124183155,-4.841594810,-147.0822079
86766495.23725,1078.963658,1061.581000,1026.349782,993.2665571,-35.05001663,-0.5106177238,-4.772557667,-145.6913638
96798818.30487,1078.963817,1061.581000,1026.348222,993.2599197,-35.05619558,-0.6054513704,-4.743201980,-144.5309213
107834373.6793,1078.964186,1061.581000,1026.347228,993.2547939,-35.07055770,-0.6857795316,-4.724074670,-143.6357596
119973484.5911,1078.964661,1061.581000,1026.347533,993.2509119,-35.08899527,-0.7678444568,-4.727580887,-142.9581159
133326506.5941,1078.965117,1061.581000,1026.347888,993.2478065,-35.10672783,-0.7882515271,-4.732069940,-142.4162292
148014830.7974,1078.965593,1061.581000,1026.356479,993.2476662,-35.12522149,-0.9040164642,-4.879804570,-142.3878736
164171987.4210,1078.966015,1061.581000,1026.359178,993.2468236,-35.14162744,-0.9479801169,-4.926247908,-142.2391758
181944859.7070,1078.966255,1061.581000,1026.355300,993.2448795,-35.15097538,-0.8997139327,-4.858013975,-141.9008375
201495019.2216,1078.966530,1061.581000,1026.364584,993.2464787,-35.16165623,-1.018570186,-5.020472606,-142.1750258
223000194.6876,1078.966704,1061.581000,1026.363227,993.2457119,-35.16842515,-1.006048505,-4.996343368,-142.0414503
246655887.7003,1078.967029,1061.581000,1026.375310,993.2483598,-35.18104913,-1.165783189,-5.210982741,-142.4984402
272677150.0142,1078.967166,1061.581000,1026.370692,993.2469696,-35.18640452,-1.109812832,-5.128338410,-142.2578964
301300538.5595,1078.966904,1061.581000,1026.357101,993.2435697,-35.17619206,-0.9252792033,-4.888547510,-141.6699874
332786265.9593,1078.967064,1061.581000,1026.372776,993.2473696,-35.18243706,-1.130471797,-5.165433682,-142.3260098
367420566.0992,1078.966986,1061.581000,1026.364212,993.2452243,-35.17940930,-1.021505857,-5.013354279,-141.9553532
405518296.2530,1078.967454,1061.581000,1026.383894,993.2499771,-35.19760931,-1.284271727,-5.365601833,-142.7775769
447425799.4222,1078.967344,1061.581000,1026.369967,993.2464326,-35.19330286,-1.100886502,-5.115222448,-142.1646313
493524052.9083,1078.967917,1061.581000,1026.391733,993.2517604,-35.21562214,-1.392884410,-5.508588736,-143.0871384
544232131.7430,1078.969053,1061.581000,1026.421531,993.2582373,-35.25984670,-1.717650104,-6.065953294,-144.2129315
600011018.4612,1078.968582,1061.581000,1026.386669,993.2501307,-35.24149878,-1.328278126,-5.415773747,-142.8063588
661367793.8512,1078.969094,1061.581000,1026.408013,993.2555290,-35.26145023,-1.619020980,-5.810543900,-143.7425682
728860246.7802,1078.970175,1061.581000,1026.441203,993.2620294,-35.30352670,-1.890990642,-6.445600549,-144.8744361
803101945.0021,1078.971128,1061.581000,1026.458874,993.2656358,-35.34066350,-2.046512926,-6.794822703,-145.5046156
884767813.0462,1078.969295,1061.581000,1026.389072,993.2504889,-35.26926855,-1.355631802,-5.459451259,-142.8694931
974600267.8948,1078.969805,1061.581000,1026.421175,993.2580611,-35.28910536,-1.734946811,-6.059075627,-144.1834010
